#           X                Y                 Ex                Ey                Ez                E 
      0.1741000000      1.2187000000      1.2598947492      9.3301112763      0.0000000000      9.4147921489
      0.1741000000      1.3928000000      0.8202845965      7.1756568736      0.0000000000      7.2223900744
      0.1741000000      1.5669000000      0.5510286768      5.6805500701      0.0000000000      5.7072131292
      0.1741000000      1.7410000000      0.3767154749      4.6018887550     -0.0000000000      4.6172821727
      0.1741000000      1.9151000000      0.2586235593      3.7987110344      0.0000000000      3.8075046511
      0.1741000000      2.0892000000      0.1755034797      3.1848266830      0.0000000000      3.1896586765
      0.1741000000      2.2633000000      0.1150413302      2.7052014678      0.0000000000      2.7076464852
      0.1741000000      2.4374000000      0.0697699783      2.3233900290      0.0000000000      2.3244373677
      0.1741000000      2.6115000000      0.0349842559      2.0144954075      0.0000000000      2.0147991575
      0.1741000000      2.7856000000      0.0076204284      1.7610480227      0.0000000000      1.7610645102
      0.1741000000      2.9597000000     -0.0143737863      1.5505006704      0.0000000000      1.5505672944
      0.1741000000      3.1338000000     -0.0324074495      1.3736549913      0.0000000000      1.3740372185
      0.1741000000      3.3079000000     -0.0474690690      1.2236441549      0.0000000000      1.2245645473
      0.1741000000      3.4820000000     -0.0602653301      1.0952581785     -0.0000000000      1.0969149409
      0.1741000000      3.6561000000     -0.0713098530      0.9844862198      0.0000000000      0.9870654548
      0.1741000000      3.8302000000     -0.0809813411      0.8881996969      0.0000000000      0.8918837812
      0.1741000000      4.0043000000     -0.0895624965      0.8039288566      0.0000000000      0.8089023719
      0.1741000000      4.1784000000     -0.0972665725      0.7297026038      0.0000000000      0.7361566926
      0.1741000000      4.3525000000     -0.1042558118      0.6639319399      0.0000000000      0.6720676269
      0.1741000000      4.5266000000     -0.1106544602      0.6053239636      0.0000000000      0.6153547842
      0.1741000000      4.7007000000     -0.1165580890      0.5528176161      0.0000000000      0.5649717734
      0.1741000000      4.8748000000     -0.1220403695      0.5055351137      0.0000000000      0.5200573073
      0.1741000000      5.0489000000     -0.1271580603      0.4627448426      0.0000000000      0.4798978658
      0.1741000000      5.2230000000     -0.1319547283      0.4238327283      0.0000000000      0.4438988983
      0.1741000000      5.3971000000     -0.1364635590      0.3882799382      0.0000000000      0.4115624052
      0.1741000000      5.5712000000     -0.1407095064      0.3556453659      0.0000000000      0.3824693340
      0.1741000000      5.7453000000     -0.1447109594      0.3255517577      0.0000000000      0.3562656434
      0.1741000000      5.9194000000     -0.1484810497      0.2976746393      0.0000000000      0.3326511882
      0.1741000000      6.0935000000     -0.1520286931      0.2717334093      0.0000000000      0.3113707907
      0.1741000000      6.2676000000     -0.1553594301      0.2474841234      0.0000000000      0.2922070222
      0.1741000000      6.4417000000     -0.1584761133      0.2247136057      0.0000000000      0.2749743316
      0.1741000000      6.6158000000     -0.1613794793      0.2032346067      0.0000000000      0.2595142418
      0.1741000000      6.7899000000     -0.1640686288      0.1828817921      0.0000000000      0.2456914016
      0.1741000000      6.9640000000     -0.1665414364      0.1635083922      0.0000000000      0.2333903262
      0.1741000000      7.1381000000     -0.1687949025      0.1449833799      0.0000000000      0.2225126952
      0.1741000000      7.3122000000     -0.1708254582      0.1271890708      0.0000000000      0.2129751086
      0.1741000000      7.4863000000     -0.1726292317      0.1100190623      0.0000000000      0.2047072195
      0.1741000000      7.6604000000     -0.1742022787      0.0933764433      0.0000000000      0.1976501810
      0.1741000000      7.8345000000     -0.1755407830      0.0771722196      0.0000000000      0.1917553597
      0.1741000000      8.0086000000     -0.1766412277      0.0613239120      0.0000000000      0.1869832760
      0.1741000000      8.1827000000     -0.1775005397      0.0457542884      0.0000000000      0.1833027454
      0.1741000000      8.3568000000     -0.1781162067      0.0303902002      0.0000000000      0.1806901971
      0.1741000000      8.5309000000     -0.1784863690      0.0151614977      0.0000000000      0.1791291571
      0.1741000000      8.7050000000     -0.1786098848      0.0000000000      0.0000000000      0.1786098848
